Unnamed: 0,Title,ID,cleaned_text
0,Kids are actively and willingly skipping recess. How do we stop this?,1ccgixd,kid actively willingly skipping recess stop
1,Why do we finish high school at 18?,1ceh1hl,finish high school
2,Failed Class for AI Assumption ,1ceo58j,failed class ai assumption
3,I was just talking to a teen the other day whosaid he'd do his homework on the bus heading to school.  Do kids really get so much less work than they did years ago?,1ca6axb,talking teen day whosaid hed homework bus heading school kid really get much le work year ago
4,PSSA testing in Pennsylvania,1cdx6tw,pssa testing pennsylvania
5,Immigrant English teacher?,1cdc0tc,immigrant english teacher
6,Push in pull out and intervention programs MTSS,1cdw0jd,push pull intervention program mt
7,"Very broad question, but what are some academical tips you have for starting high school?",1cbkt79,broad question academical tip starting high school
8,This is ridiculous,1ceztww,ridiculous
9,How to become well-read?,1cezn1a,become wellread
10,Does a person's success depends on university or his educational qualifications ?,1ceyzvr,person success depends university educational qualification
11,Company Wants To Address Euro Teacher Shortage With AI By Using Avatars To Teach Maths,1cdi6go,company want address euro teacher shortage ai using avatar teach math
12,Why has my preschooler STAR test score gone down over the year?,1cd53ob,preschooler star test score gone year
13,Test on Saturday Morning,1cawv1e,test saturday morning
14,First Grade Classroom Management ,1c9zxa9,first grade classroom management
15,Want to study in EU but I don't know how to.,1cf2bxt,want study eu dont know
16,Tips for studying?,1cdtapy,tip studying
17,Any benefits of an Associates in Automotive?,1cdg8m7,benefit associate automotive
18,What opportunities does a 35 on the ACT open for me?,1cd4vds,opportunity act open
19,does second degree students socially interact with first degree students?,1cczywk,second degree student socially interact first degree student
20,Ideas for things to teach to elder people,1ccm7yc,idea thing teach elder people
21,Didn't Graduate Highschool,1ccc3si,didnt graduate highschool
22,"Passage of a Kansas City, Kansas, school bond would mean higher taxes, new schools",1cc3n3a,passage kansa city kansa school bond would mean higher tax new school
23,Kindergarten Start for Children Born September - December?,1cbcr0g,kindergarten start child born september december
24,education resources? ,1cbck09,education resource
25,What are some tips for starting online school?,1caji6b,tip starting online school
26,Would like to study stress management/ fight or flight / vagus nerve,1cfcsip,would like study stress management fight flight vagus nerve
27,Sped case manager,1cdvjyc,sped case manager
28,Interview dates clashing,1cdkijb,interview date clashing
29,Text to speech ,1cd9ito,text speech
30,Paid Study Opportunity,1cd8pa4,paid study opportunity
31,What is okay to even expect??,1cd4yxb,okay even expect
32,Can I use FASFA to get a lineman and HVAC Technician ,1ccitct,use fasfa get lineman hvac technician
33,Seeking Recommendations for Computer-Aided Instruction Service for Kids,1cc5rrc,seeking recommendation computeraided instruction service kid
34,Summer jobs,1cb95ko,summer job
35,Trying to choose a science major,1casli8,trying choose science major
36,Please take this academic survey,1ca292m,please take academic survey
37,Can an adult not in high school take AP exams?,1ca1g72,adult high school take ap exam
38,[Academic] Survey,1c9xjx8,academic survey
39,"They ask that more budget funds be allocated to education, housing",1cetx6q,ask budget fund allocated education housing
40,Register for Python Bootcamp,1cdpi2e,register python bootcamp
41,frustrated with finding an art school,1c9pyf5,frustrated finding art school
42,scholarships for international students,1cf7u1y,scholarship international student
43,I just need to get this out there,1c9z4g5,need get
44,brainly,1cek1n6,brainly
45,Dream,1ce16q3,dream
46,How To Email College Admissions,1cc77zw,email college admission
47,Gifted and Talented,1caxxjb,gifted talented
48,A fully online bachelor's degree that is completely tuition-free?,1cb5s28,fully online bachelor degree completely tuitionfree
49,Apparently school has been purging on subs or any per-diem employees for using cellphones,1ce48vq,apparently school purging sub perdiem employee using cellphone
50,School system broken?,1cao4kq,school system broken
51,Controversial Take// Early Years ,1ccd0cr,controversial take early year
52,Teaching and helping students with ADHD - Something needs to change...,1cb4n7x,teaching helping student adhd something need change
53,A Critical Examination of Education in America,1cbxm4l,critical examination education america
